followers_count,following_count,tweet_count,days_antiquity,description_length,username_digits,class
75.0,366.0,5134.0,1683.0,31.0,1.0,0
60.0,189.0,1880.0,1683.0,9.0,2.0,0
78.0,63.0,21248.0,1681.0,,8.0,0
67.0,137.0,967.0,3921.0,,2.0,0
9.0,49.0,2661.0,1678.0,,4.0,0
42.0,249.0,1038.0,1674.0,,8.0,0
3.0,172.0,227.0,1674.0,24.0,8.0,0
155.0,367.0,26339.0,1672.0,76.0,0.0,0
77.0,1086.0,1549.0,5003.0,13.0,3.0,0
22.0,237.0,2099.0,1666.0,39.0,0.0,0
1518.0,2335.0,5164.0,5002.0,60.0,0.0,0
1.0,41.0,26.0,1662.0,,3.0,0
131.0,142.0,17381.0,3918.0,160.0,0.0,0
19.0,87.0,2408.0,1657.0,39.0,2.0,0
163.0,489.0,2493.0,5001.0,160.0,0.0,0
86.0,149.0,31306.0,1653.0,,0.0,0
5.0,37.0,1549.0,3917.0,113.0,4.0,0
5364.0,5043.0,28091.0,1652.0,160.0,0.0,0
63.0,164.0,15423.0,1650.0,50.0,1.0,0
13.0,156.0,169.0,1648.0,9.0,8.0,0
433.0,543.0,15441.0,1647.0,86.0,0.0,0
292.0,188.0,58435.0,1646.0,,1.0,0
1078.0,1064.0,29766.0,3916.0,29.0,0.0,0
15.0,42.0,440.0,1645.0,,0.0,0
31.0,97.0,1267.0,1644.0,106.0,0.0,0
146.0,1006.0,12681.0,3916.0,73.0,0.0,0
51.0,74.0,13720.0,1642.0,118.0,8.0,0
18.0,66.0,123.0,1639.0,,1.0,0
4.0,24.0,2554.0,1637.0,,1.0,0
64.0,369.0,2304.0,1637.0,117.0,1.0,0
8.0,44.0,4394.0,1635.0,,6.0,0
70.0,251.0,40938.0,1634.0,,3.0,0
38.0,500.0,6682.0,1634.0,,8.0,0
72.0,332.0,776.0,3914.0,,6.0,0
946.0,2438.0,19037.0,3914.0,,2.0,0
263.0,1948.0,10713.0,4998.0,175.0,0.0,0
964.0,2117.0,41134.0,1629.0,151.0,2.0,0
1.0,0.0,356.0,1626.0,16.0,0.0,0
52.0,425.0,252.0,4997.0,,2.0,0
94.0,93.0,364.0,3913.0,11.0,0.0,0
136.0,195.0,1443.0,4997.0,91.0,3.0,0
1.0,148.0,250.0,1616.0,,8.0,0
603.0,858.0,8980.0,1616.0,156.0,0.0,0
635.0,2351.0,109977.0,3912.0,,0.0,0
278.0,1320.0,5305.0,1614.0,124.0,2.0,0
284.0,125.0,18541.0,1613.0,33.0,8.0,0
819.0,793.0,1561.0,3912.0,45.0,0.0,0
467.0,1047.0,6347.0,1612.0,23.0,0.0,0
134.0,221.0,1501.0,3912.0,,0.0,0
90.0,343.0,9607.0,1606.0,64.0,4.0,0
251.0,668.0,31205.0,1606.0,57.0,8.0,0
5.0,139.0,2876.0,1605.0,2.0,0.0,0
20.0,1420.0,66.0,1597.0,9.0,8.0,0
4.0,45.0,109.0,1597.0,23.0,8.0,0
75.0,290.0,2911.0,1596.0,,8.0,0
3218.0,1538.0,22818.0,1595.0,11.0,0.0,0
241.0,167.0,2787.0,1593.0,124.0,0.0,0
145.0,266.0,17569.0,1593.0,,8.0,0
281.0,450.0,12210.0,1588.0,16.0,1.0,0
38.0,432.0,375.0,3909.0,,2.0,0
40.0,47.0,1747.0,1587.0,78.0,8.0,0
1.0,20.0,81.0,1587.0,54.0,0.0,0
36.0,322.0,335.0,1581.0,,3.0,0
24.0,18.0,7313.0,1580.0,2.0,8.0,0
21.0,38.0,11399.0,3908.0,,2.0,0
5.0,32.0,676.0,1578.0,,0.0,0
210.0,159.0,48989.0,3908.0,,1.0,0
115.0,131.0,4346.0,1573.0,,1.0,0
3820.0,355.0,27109.0,3907.0,70.0,0.0,0
722.0,159.0,31808.0,1572.0,26.0,4.0,0
2.0,49.0,530.0,1572.0,72.0,1.0,0
8.0,233.0,362.0,1570.0,3.0,1.0,0
321.0,1045.0,2357.0,1569.0,64.0,2.0,0
163.0,97.0,2054.0,3906.0,68.0,1.0,0
387.0,1411.0,36677.0,4990.0,142.0,0.0,0
834.0,290.0,15022.0,1566.0,34.0,0.0,0
0.0,39.0,462.0,1566.0,5.0,8.0,0
7.0,89.0,47.0,4989.0,,3.0,0
109.0,670.0,5123.0,1561.0,43.0,1.0,0
65.0,164.0,5854.0,1553.0,98.0,8.0,0
53.0,223.0,11061.0,1552.0,153.0,2.0,0
395.0,421.0,3178.0,3904.0,121.0,0.0,0
16.0,159.0,52.0,1551.0,,1.0,0
1194.0,786.0,25580.0,4988.0,71.0,0.0,0
175.0,641.0,1683.0,3904.0,21.0,2.0,0
135.0,29.0,25007.0,3904.0,,1.0,0
13.0,300.0,55.0,1546.0,105.0,2.0,0
114.0,174.0,11724.0,1543.0,,0.0,0
18.0,132.0,155.0,3903.0,,0.0,0
171.0,700.0,11885.0,4987.0,61.0,2.0,0
2.0,41.0,571.0,1540.0,4.0,8.0,0
87.0,534.0,340.0,1539.0,,8.0,0
942.0,1106.0,38246.0,1537.0,73.0,8.0,0
195.0,449.0,47394.0,1537.0,139.0,2.0,0
1618.0,2067.0,35465.0,4986.0,37.0,0.0,0
28.0,90.0,250.0,1534.0,65.0,0.0,0
147.0,429.0,9670.0,3902.0,83.0,0.0,0
23.0,55.0,603.0,3902.0,44.0,3.0,0
1.0,18.0,1078.0,4986.0,,2.0,0
19.0,25.0,7422.0,3902.0,,0.0,0
2893.0,2605.0,141890.0,6060.0,81.0,0.0,0
420.0,494.0,21913.0,1530.0,20.0,8.0,0
2.0,53.0,122.0,1528.0,24.0,8.0,0
29.0,297.0,960.0,1526.0,54.0,1.0,0
46.0,331.0,2378.0,1523.0,5.0,0.0,0
336.0,528.0,4680.0,1522.0,44.0,0.0,0
100.0,3077.0,1995.0,1522.0,10.0,1.0,0
530.0,1909.0,19545.0,4984.0,88.0,2.0,0
134.0,333.0,4175.0,3900.0,121.0,4.0,0
55.0,395.0,9461.0,1518.0,95.0,1.0,0
116.0,50.0,16357.0,1517.0,17.0,8.0,0
1281.0,2157.0,37514.0,3900.0,51.0,0.0,0
26.0,291.0,5157.0,3900.0,,4.0,0
174.0,761.0,5262.0,4984.0,,0.0,0
89.0,426.0,1968.0,1514.0,15.0,2.0,0
7.0,15.0,235.0,1512.0,,8.0,0
276.0,1002.0,29377.0,1511.0,114.0,5.0,0
408.0,619.0,6118.0,1510.0,146.0,0.0,0
11.0,225.0,3416.0,1509.0,,0.0,0
149.0,794.0,7275.0,1509.0,83.0,8.0,0
293.0,2018.0,97464.0,4983.0,,0.0,0
55.0,190.0,2968.0,1501.0,159.0,3.0,0
58.0,52.0,1646.0,3898.0,113.0,0.0,0
507.0,808.0,51658.0,3898.0,114.0,2.0,0
28.0,232.0,197.0,1497.0,25.0,0.0,0
69.0,19.0,3747.0,1496.0,41.0,1.0,0
18.0,100.0,277.0,3897.0,,2.0,0
0.0,106.0,5045.0,3897.0,32.0,4.0,0
2.0,38.0,523.0,1484.0,,0.0,0
95.0,135.0,2247.0,4980.0,66.0,0.0,0
6082.0,394.0,9547.0,3896.0,3.0,0.0,0
94.0,375.0,2212.0,1479.0,26.0,1.0,0
4.0,166.0,3792.0,1478.0,,8.0,0
4277.0,4820.0,12386.0,1474.0,157.0,1.0,0
146.0,314.0,4841.0,1473.0,2.0,2.0,0
130.0,163.0,7240.0,1473.0,40.0,0.0,0
43.0,154.0,1389.0,1473.0,10.0,3.0,0
0.0,5.0,246.0,1472.0,,2.0,0
32.0,497.0,250.0,3895.0,103.0,1.0,0
4.0,57.0,306.0,1471.0,22.0,8.0,0
38.0,189.0,3382.0,3895.0,10.0,0.0,0
61.0,154.0,4318.0,1470.0,15.0,0.0,0
8.0,75.0,625.0,1469.0,,8.0,0
0.0,39.0,409.0,1469.0,,8.0,0
47.0,90.0,1050.0,1469.0,16.0,2.0,0
2.0,50.0,128.0,1469.0,,8.0,0
46.0,383.0,2409.0,1469.0,,4.0,0
15834.0,13112.0,185590.0,1469.0,151.0,0.0,0
3027.0,3015.0,18964.0,1469.0,89.0,0.0,0
19.0,123.0,525.0,1469.0,109.0,1.0,0
361.0,477.0,24050.0,1468.0,50.0,1.0,0
12.0,89.0,1003.0,1468.0,,8.0,0
19.0,190.0,4851.0,1468.0,52.0,2.0,0
106.0,221.0,27276.0,1468.0,,8.0,0
300.0,1650.0,2415.0,4978.0,99.0,0.0,0
3.0,82.0,2377.0,1468.0,,8.0,0
1064.0,1536.0,58737.0,4978.0,,0.0,0
13.0,46.0,3058.0,1465.0,9.0,1.0,0
